name,the_score,num_pairs,h0_pairs,h1_pairs
01_test.png,0.01326144,3417,1279,2138
02_test.png,0.01187655,3153,1174,1979
03_test.png,0.01261833,3333,1190,2143
04_test.png,0.01619532,3137,1216,1921
05_test.png,0.01376206,3192,1199,1993
